Aperture angle (mrad),Resolution (nm)
0.0005,7.653808593750001
0.000603448275862069,6.079101562500001
0.000706896551724138,5.200195312500001
0.0008103448275862069,4.55322265625
0.0009137931034482759,4.052734375000001
0.0010172413793103447,3.6621093750000004
0.0011206896551724137,3.33251953125
0.0012241379310344827,3.06396484375
0.0013275862068965517,2.79541015625
0.0014310344827586207,2.6000976562500004
0.0015344827586206897,2.4291992187500004
0.0016379310344827587,2.2949218750000004
0.0017413793103448275,2.18505859375
0.0018448275862068964,2.0751953125
0.0019482758620689654,1.9775390625
0.002051724137931034,1.89208984375
0.0021551724137931034,1.806640625
0.0022586206896551726,1.74560546875
0.0023620689655172414,1.69677734375
0.00246551724137931,1.6601562500000002
0.0025689655172413794,1.6235351562500002
0.002672413793103448,1.611328125
0.0027758620689655174,1.59912109375
0.002879310344827586,1.59912109375
0.002982758620689655,1.6235351562500002
0.003086206896551724,1.6235351562500002
0.003189655172413793,1.6479492187500002
0.003293103448275862,1.6479492187500002
0.003396551724137931,1.6601562500000002
0.0035,1.6601562500000002
0.004,1.6479492187500002
0.006,1.6479492187500002
